member_id,name,party,status,candidates,note
H-0097,尾崎 正直,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0098,長田 紘一郎,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0103,鬼木 誠,自民,multiple,onikidon;onikimakoto,"Wikidata P2002が複数候補。QID=Q113566585,Q11673487。公式確認後に1つをx_handles.csvへ登録"
H-0106,小渕 優子,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0107,尾身 朝子,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0118,加藤 大博,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0119,加藤 竜祥,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0124,金子 容三,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0131,川崎 ひでと,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0141,岸 信千世,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0143,喜多 義典,維新,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0145,木下 敏之,参政,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0152,工藤 聖子,参政,multiple,kudo123koenkai;kudosatoko35,Wikidata P2002が複数候補。QID=Q138340718。公式確認後に1つをx_handles.csvへ登録
H-0155,国光 あやの,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0156,熊田 裕通,自民,multiple,kumada_aichi1;kumadahiromichi,Wikidata P2002が複数候補。QID=Q11568677。公式確認後に1つをx_handles.csvへ登録
H-0157,栗原 渉,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0162,小泉 龍司,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0164,高村 正大,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0165,こうらい啓一郎,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0182,西條 昌良,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0187,斉藤 りえ,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0189,坂本 哲志,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0191,笹川 博義,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0197,塩崎 彰久,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0204,島村 かおる,参政,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0213,鈴木 俊一,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0219,鈴木 美香,参政,multiple,suzukimika;suzukimikatyo22,"Wikidata P2002が複数候補。QID=Q11649184,Q138351652。公式確認後に1つをx_handles.csvへ登録"
H-0225,世古 万美子,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0231,高階 恵美子,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0236,高橋 祐介,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0241,武田 良太,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0245,橘 慶一郎,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0253,谷 公一,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0254,谷 浩一郎,参政,multiple,123seitou;sanseitou_tani,Wikidata P2002が複数候補。QID=Q138336370。公式確認後に1つをx_handles.csvへ登録
H-0256,田野瀬 太道,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0261,田村 憲久,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0262,俵田 祐児,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0265,辻 秀樹,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0266,辻 由布子,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0270,角田 秀穂,中道,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0275,とかしきなおみ,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0279,中川こういち,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0284,長澤 興祐,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0299,中村 はやと,無,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0300,中村 裕之,自民,multiple,nakamuradougi;nakamurahiro3,Wikidata P2002が複数候補。QID=Q11365989。公式確認後に1つをx_handles.csvへ登録
H-0301,なかや めぐ,参政,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0306,西岡 秀子,国民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0324,野田 佳彦,中道,multiple,2024Noda;NODAYOSHI55,Wikidata P2002が複数候補。QID=Q57647。公式確認後に1つをx_handles.csvへ登録
H-0337,浜田 靖一,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0338,浜地 雅一,中道,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0340,林 芳正,自民,multiple,hayashi09615064;office_yosimasa,Wikidata P2002が複数候補。QID=Q1141271。公式確認後に1つをx_handles.csvへ登録
H-0359,藤沢 忠盛,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0373,古川 禎久,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0381,前川 恵,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0384,牧野 俊一,参政,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0391,丸尾 なつ子,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0395,水野よしひこ,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0414,村上 誠一郎,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0418,森 英介,無,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0419,森 ようすけ,国民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0421,森原 紀代子,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0422,森山 裕,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0425,簗 和生,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0432,山下 史守朗,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0437,山田 基靖,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0440,山本ジョージ,無,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0442,山本 大地,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0448,吉田 有理,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0449,吉村 悠,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0452,若狹 清史,維新,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0457,早稲田 ゆき,中道,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0462,渡辺 孝一,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0463,渡辺 真太朗,無,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0465,渡辺 博道,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0001,青木 愛,立憲,multiple,Ai_Aoki;aiai0511;aoki12ku,"Wikidata P2002が複数候補。QID=Q11661731,Q3544200,Q4696474。公式確認後に1つをx_handles.csvへ登録"
S-0003,青島 健太,維新,multiple,AoshimaKenta4;aoken04,Wikidata P2002が複数候補。QID=Q11661379。公式確認後に1つをx_handles.csvへ登録
S-0010,阿達 雅志,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0011,足立 康史,民主,multiple,adachiyasushi;adc834,Wikidata P2002が複数候補。QID=Q11637002。公式確認後に1つをx_handles.csvへ登録
S-0015,安野 貴博,無所属,multiple,annotakahiro24;idobata_ai;takahiroanno,Wikidata P2002が複数候補。QID=Q126992672。公式確認後に1つをx_handles.csvへ登録
S-0020,石井 めぐみ,維新,multiple,MegLaAnge;toridenomegumi,"Wikidata P2002が複数候補。QID=Q11584833,Q135689785。公式確認後に1つをx_handles.csvへ登録"
S-0024,石橋 通宏,立憲,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0025,泉 房穂,立憲,multiple,izumi_akashi;izumifusaho,Wikidata P2002が複数候補。QID=Q11554827。公式確認後に1つをx_handles.csvへ登録
S-0027,礒崎 哲史,民主,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0028,磯崎 仁彦,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0031,伊藤 辰夫,民主,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0040,いんどう 周作,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0042,上田 清司,民主,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0043,上野 ほたる,維新,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0044,上野 通子,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0046,臼井 正一,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0049,江島 潔,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0050,江原 くみ子,民主,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0057,奥田 ふみよ,れ新,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0062,鬼木 誠,立憲,multiple,onikidon;onikimakoto,"Wikidata P2002が複数候補。QID=Q113566585,Q11673487。公式確認後に1つをx_handles.csvへ登録"
S-0064,かごしま 彰宏,民主,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0065,梶原 大介,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0066,加田 裕之,自民,multiple,kada_hyogo;kadahiroyuki,Wikidata P2002が複数候補。QID=Q65557030。公式確認後に1つをx_handles.csvへ登録
S-0069,片山 大介,維新,multiple,d_katayama1006;katayamayusuke,Wikidata P2002が複数候補。QID=Q26044301。公式確認後に1つをx_handles.csvへ登録
S-0073,かまやち 敏,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0080,北村 晴男,保守,multiple,kitamuraharuo;kitamuratube,Wikidata P2002が複数候補。QID=Q11401991。公式確認後に1つをx_handles.csvへ登録
S-0083,吉良 よし子,共産,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0087,見坂 茂範,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0090,郡山 りょう,立憲,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0093,古賀 之士,立憲,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0094,小島 とも子,立憲,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0101,小林 さやか,民主,multiple,satoyoshilove;sayaka03150915;sayaka_koba1983,"Wikidata P2002が複数候補。QID=Q135689789,Q7429101,Q79738374。公式確認後に1つをx_handles.csvへ登録"
S-0102,こやり 隆史,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0107,櫻井 充,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0109,佐々木 りえ,維新,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0113,塩村 あやか,立憲,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0114,柴 愼一,立憲,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0116,自見 はなこ,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0120,進藤 金日子,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0128,石 平,維新,multiple,Sekihei5i;liyonyon,Wikidata P2002が複数候補。QID=Q8461707。公式確認後に1つをx_handles.csvへ登録
S-0131,高木 かおり,維新,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0133,高橋 克法,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0142,田名部 匡代,立憲,multiple,masayo_office;masayo_tanabu,Wikidata P2002が複数候補。QID=Q6782781。公式確認後に1つをx_handles.csvへ登録
S-0144,田村 まみ,民主,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0151,堂込 麻紀子,民主,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0155,ながえ 孝子,無所属,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0174,羽田 次郎,立憲,multiple,hata_kouenkai;jiro0907i,Wikidata P2002が複数候補。QID=Q41805280。公式確認後に1つをx_handles.csvへ登録
S-0175,馬場 成志,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0176,浜口 誠,民主,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0180,東野 秀樹,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0181,百田 尚樹,保守,multiple,Hyakutajyuku;hyakutanaoki,Wikidata P2002が複数候補。QID=Q11580823。公式確認後に1つをx_handles.csvへ登録
S-0188,福島 みずほ,立憲,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0190,福山 守,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0191,藤井 一博,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0193,藤木 眞也,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0196,古川 俊治,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0200,舞立 昇治,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0201,牧野 たかお,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0202,牧山 ひろえ,立憲,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0207,松野 明美,維新,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0208,松村 祥史,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0209,松山 政司,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0211,三上 えり,立憲,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0212,水岡 俊一,立憲,multiple,mizuokakouenkai;s_mizuoka,Wikidata P2002が複数候補。QID=Q7505073。公式確認後に1つをx_handles.csvへ登録
S-0216,宮沢 洋一,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0219,宮本 周司,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0222,森 まさこ,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0223,森 ゆうこ,立憲,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0224,森本 真治,立憲,multiple,Morimoto_Shinji;morimoto_shinji,Wikidata P2002が複数候補。QID=Q17220450。公式確認後に1つをx_handles.csvへ登録
S-0229,山田 太郎,自民,multiple,tarochan666;yamadataro43,"Wikidata P2002が複数候補。QID=Q11470292,Q97186268。公式確認後に1つをx_handles.csvへ登録"
S-0231,山田 吉彦,民主,multiple,Sea_exchange;yoshihiko_umi,Wikidata P2002が複数候補。QID=Q11470248。公式確認後に1つをx_handles.csvへ登録
S-0237,山本 太郎,れ新,multiple,taro_koho;yamamototaro0,Wikidata P2002が複数候補。QID=Q1093223。公式確認後に1つをx_handles.csvへ登録
S-0238,横沢 高徳,立憲,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0240,吉井 章,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
S-0243,ラサール石井,立憲,multiple,bwkZhVxTlWNLSxd;l_ishii_office;lasar141,Wikidata P2002が複数候補。QID=Q999260。公式確認後に1つをx_handles.csvへ登録
